,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
1044,1985,Applied Health Sciences,Kinesiology,247,138,109,168,79
1049,1985,Applied Health Sciences,PROG MANAG,159,60,99,146,13
1037,1985,Applied Health Sciences,Biology,80,30,50,76,4
1053,1985,Applied Health Sciences,THER REC,59,10,49,57,2
1045,1985,Applied Health Sciences,Leisure Studies,41,19,22,22,19
1042,1985,Applied Health Sciences,HLTH EDUC,32,4,28,32,0
1047,1985,Applied Health Sciences,OUTDR REC,27,16,11,26,1
1038,1985,Applied Health Sciences,CUR INST 2,23,8,15,22,1
1043,1985,Applied Health Sciences,HLTH PL AD,20,3,17,20,0
1040,1985,Applied Health Sciences,CUR INST#3,10,9,1,9,1
