,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
1394,1987,ACES,Agricultural & Applied Econ,396,337,59,332,64
1426,1987,ACES,Physics,386,345,41,139,247
1400,1987,ACES,Animal Sciences,381,199,182,321,60
1408,1987,ACES,Food Science & Human Nutrition,222,77,145,151,71
1399,1987,ACES,Agronomy,168,130,38,96,72
1421,1987,ACES,MKT TEXT&A,127,4,123,122,5
1419,1987,ACES,INT DSGN,114,7,107,109,5
1427,1987,ACES,REST MGMT,110,53,57,108,2
1431,1987,ACES,Speech & Hearing Science,101,2,99,82,19
1412,1987,ACES,H DVL-FAM,96,3,93,95,1
