,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
1795,1989,ACES,Agricultural & Applied Econ,422,334,88,361,61
1801,1989,ACES,Animal Sciences,391,191,200,319,72
1825,1989,ACES,Physics,363,319,44,114,249
1808,1989,ACES,Food Science & Human Nutrition,215,66,149,155,60
1800,1989,ACES,Agronomy,124,98,26,70,54
1820,1989,ACES,MKT TEXT&A,117,5,112,112,5
1826,1989,ACES,REST MGMT,108,60,48,104,4
1830,1989,ACES,Speech & Hearing Science,105,6,99,91,14
1812,1989,ACES,H DVL-FAM,92,6,86,91,1
1818,1989,ACES,INT DSGN,89,3,86,87,2
