,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
2744,1993,LAS,GEN CURR,2073,974,1099,1991,82
2737,1993,LAS,Chemistry,491,353,138,245,246
2735,1993,LAS,Chemical Engineering,437,291,146,330,107
2756,1993,LAS,PRE-JOURN,343,129,214,317,26
2757,1993,LAS,PRE-MED,251,127,124,237,14
2762,1993,LAS,Psychology,224,99,125,54,170
2773,1993,LAS,UNCM FR&SO,213,101,112,204,9
2772,1993,LAS,UNCLASS,212,112,100,93,119
2733,1993,LAS,Biology,200,121,79,137,63
2752,1993,LAS,Mathematics,193,148,45,36,157
