,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
4536,2002,LAS,GEN CURR,2075,964,1111,1917,158
4522,2002,LAS,Biology,762,312,450,666,96
4549,2002,LAS,PRE-JOURN,544,151,393,505,39
4525,2002,LAS,Chemical Engineering,397,282,115,263,134
4527,2002,LAS,Chemistry,370,237,133,129,241
4550,2002,LAS,PRE-MED,213,91,122,198,15
4560,2002,LAS,TRANSITION,206,78,128,194,12
4562,2002,LAS,UNCM FR&SO,180,89,91,171,9
4544,2002,LAS,Mathematics,175,137,38,15,160
4555,2002,LAS,Psychology,174,62,112,32,142
