,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
4668,2003,Engineering,Electrical Engineering,1423,1203,220,640,783
4673,2003,Engineering,Mechanical Engineering,954,845,109,675,279
4660,2003,Engineering,Civil Engineering,795,626,169,482,313
4662,2003,Engineering,Computer Science,780,696,84,561,219
4661,2003,Engineering,Computer Engineering,756,683,73,548,208
4669,2003,Engineering,GEN ENGR,601,468,133,517,84
4658,2003,Engineering,Aero & Astro Engineering,417,343,74,328,89
4671,2003,Engineering,MATSCI&ENG,215,159,56,174,41
4672,2003,Engineering,Materials Science & Engr,158,108,50,22,136
4674,2003,Engineering,Nuclear Engineering,126,103,23,78,48
