,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
792,1984,ACES,Animal Sciences,464,218,246,411,53
786,1984,ACES,Agricultural & Applied Econ,444,367,77,372,72
818,1984,ACES,Physics,376,341,35,128,248
800,1984,ACES,Food Science & Human Nutrition,220,73,147,165,55
791,1984,ACES,Agronomy,188,149,39,117,71
813,1984,ACES,MKT TEXT&A,165,5,160,164,1
811,1984,ACES,INT DSGN,148,4,144,143,5
823,1984,ACES,Speech & Hearing Science,128,4,124,114,14
795,1984,ACES,CORE CURR,115,80,35,112,3
789,1984,ACES,Agricultural Engineering,84,80,4,82,2
