,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
1299,1986,Engineering,Electrical Engineering,2041,1813,228,1623,418
1303,1986,Engineering,Mechanical Engineering,1010,896,114,896,114
1289,1986,Engineering,Aero & Astro Engineering,599,540,59,532,67
1292,1986,Engineering,Civil Engineering,553,470,83,397,156
1300,1986,Engineering,GEN ENGR,504,347,157,487,17
1294,1986,Engineering,Computer Science,488,383,105,448,40
1293,1986,Engineering,Computer Engineering,463,407,56,424,39
1291,1986,Engineering,CER ENGR,204,156,48,176,28
1301,1986,Engineering,Industrial Engineering,202,133,69,187,15
1302,1986,Engineering,METAL ENGR,185,155,30,109,76
