,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
1448,1987,Applied Health Sciences,Kinesiology,212,112,100,154,58
1452,1987,Applied Health Sciences,PROG MANAG,145,51,94,135,10
1442,1987,Applied Health Sciences,Biology,80,32,48,76,4
1455,1987,Applied Health Sciences,THER REC,46,7,39,43,3
1449,1987,Applied Health Sciences,Leisure Studies,42,17,25,19,23
1447,1987,Applied Health Sciences,HLTH PL AD,39,11,28,38,1
1450,1987,Applied Health Sciences,OUTDR REC,26,15,11,25,1
1446,1987,Applied Health Sciences,HLTH EDUC,24,5,19,22,2
1443,1987,Applied Health Sciences,CUR INST 2,22,12,10,20,2
1445,1987,Applied Health Sciences,CUR INST#3,13,10,3,13,0
