,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
1661,1988,Business,Accountancy,1136,554,582,1022,114
1662,1988,Business,Business Administration,1022,631,391,839,183
1666,1988,Business,Finance,698,420,278,618,80
1671,1988,Business,UNASSIGNED,682,379,303,630,52
1664,1988,Business,Computer Science,397,342,55,126,271
1665,1988,Business,Economics,236,178,58,74,162
1668,1988,Business,MARKETING,168,60,108,162,6
1670,1988,Business,Theatre,119,60,59,65,54
1669,1988,Business,Teaching of Spanish,31,4,27,31,0
1663,1988,Business,COM TEACH,1,0,1,1,0
