,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
2066,1990,Business,Accountancy,1180,613,567,1055,125
2067,1990,Business,Business Administration,1164,728,436,914,250
2071,1990,Business,Finance,780,530,250,706,74
2076,1990,Business,UNASSIGNED,576,322,254,509,67
2069,1990,Business,Computer Science,397,349,48,118,279
2070,1990,Business,Economics,268,212,56,81,187
2073,1990,Business,MARKETING,145,61,84,133,12
2075,1990,Business,Theatre,102,54,48,54,48
2074,1990,Business,Teaching of Spanish,28,3,25,27,1
2072,1990,Business,MANAGEMENT,15,12,3,14,1
