,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
2942,1994,LAS,GEN CURR,2207,1002,1205,2091,116
2935,1994,LAS,Chemistry,468,336,132,221,247
2933,1994,LAS,Chemical Engineering,457,304,153,340,117
2955,1994,LAS,PRE-MED,299,144,155,285,14
2954,1994,LAS,PRE-JOURN,276,113,163,260,16
2973,1994,LAS,UNCM FR&SO,224,98,126,218,6
2972,1994,LAS,UNCLASS,209,96,113,83,126
2929,1994,LAS,BIOCH,201,116,85,175,26
2960,1994,LAS,Psychology,193,82,111,47,146
2971,1994,LAS,TRANSITION,192,97,95,179,13
