,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
3669,1998,Business,Business Administration,1389,792,597,963,426
3668,1998,Business,Accountancy,952,483,469,791,161
3674,1998,Business,Finance,823,560,263,719,104
3680,1998,Business,UNASSIGNED,560,299,261,526,34
3671,1998,Business,Computer Science,356,285,71,62,294
3672,1998,Business,Economics,261,180,81,66,195
3679,1998,Business,Theatre,140,64,76,78,62
3673,1998,Business,Executive MBA Program,72,57,15,71,1
3678,1998,Business,Technical Systems Management,70,64,6,70,0
3676,1998,Business,Leisure Studies,46,12,34,45,1
