,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
4069,2000,Business,Business Administration,1380,765,615,1011,369
4074,2000,Business,Finance,958,623,335,823,135
4068,2000,Business,Accountancy,847,423,424,658,189
4080,2000,Business,UNASSIGNED,535,287,248,503,32
4071,2000,Business,Computer Science,400,319,81,52,348
4072,2000,Business,Economics,250,172,78,70,180
4079,2000,Business,Theatre,103,51,52,52,51
4078,2000,Business,Technical Systems Management,77,70,7,77,0
4073,2000,Business,Executive MBA Program,64,46,18,56,8
4070,2000,Business,CBA NON-DEGREE,45,23,22,1,44
