,Fall,College,Major Name,Total,Male,Female,Illinois,Non-Illinois
4346,2001,LAS,GEN CURR,2198,994,1204,2031,167
4358,2001,LAS,PRE-JOURN,512,138,374,477,35
4336,2001,LAS,Chemical Engineering,432,297,135,314,118
4338,2001,LAS,Chemistry,396,245,151,144,252
4333,2001,LAS,Biology,383,146,237,308,75
4359,2001,LAS,PRE-MED,240,95,145,222,18
4371,2001,LAS,TRANSITION,213,86,127,207,6
4373,2001,LAS,UNCM FR&SO,194,100,94,183,11
4372,2001,LAS,UNCLASS,175,83,92,56,119
4354,2001,LAS,Mathematics,167,125,42,13,154
